Record Length,Analog:700
Sample Interval,CH1:0.0000010000000 CH2:0.0000010000000
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:0.50 CH2:0.50,,,
Vertical Offset,CH1:0.48000 CH2:0.49000,,,
Horizontal Units,us,,,
Horizontal Scale,500.0000000000,,,
Model Number,SDS1202X-E,,,
Serial Number,SDS1ECDD2R8248,,,
Software Version,1.3.26,,,
Source,CH1,CH2
Second,Volt,Volt
 0.00651500000,-1.54000,-1.35000
 0.00651600000,-1.52000,-1.39000
 0.00651700000,-1.52000,-1.39000
 0.00651800000,-1.52000,-1.39000
 0.00651900000,-1.54000,-1.39000
 0.00652000000,-1.54000,-1.37000
 0.00652100000,-1.54000,-1.39000
 0.00652200000,-1.54000,-1.39000
 0.00652300000,-1.52000,-1.37000
 0.00652400000,-1.36000,-1.37000
 0.00652500000,-1.36000,-1.35000
 0.00652600000,-1.38000,-1.41000
 0.00652700000,-1.46000,-1.47000
 0.00652800000,-1.52000,-1.49000
 0.00652900000,-1.56000,-1.53000
 0.00653000000,-1.58000,-1.57000
 0.00653100000,-1.64000,-1.63000
 0.00653200000,-1.68000,-1.65000
 0.00653300000,-1.70000,-1.69000
 0.00653400000,-1.70000,-1.71000
 0.00653500000,-1.72000,-1.75000
 0.00653600000,-1.76000,-1.77000
 0.00653700000,-1.78000,-1.79000
 0.00653800000,-1.80000,-1.81000
 0.00653900000,-1.82000,-1.79000
 0.00654000000,-1.84000,-1.81000
 0.00654100000,-1.84000,-1.83000
 0.00654200000,-1.86000,-1.83000
 0.00654300000,-1.86000,-1.87000
 0.00654400000,-1.86000,-1.87000
 0.00654500000,-1.96000,-1.81000
 0.00654600000,-1.86000,-1.73000
 0.00654700000,-1.82000,-1.65000
 0.00654800000,-1.74000,-1.59000
 0.00654900000,-1.68000,-1.55000
 0.00655000000,-1.68000,-1.49000
 0.00655100000,-1.64000,-1.47000
 0.00655200000,-1.60000,-1.47000
 0.00655300000,-1.62000,-1.43000
 0.00655400000,-1.60000,-1.43000
 0.00655500000,-1.56000,-1.41000
 0.00655600000,-1.56000,-1.41000
 0.00655700000,-1.56000,-1.41000
 0.00655800000,-1.54000,-1.41000
 0.00655900000,-1.54000,-1.41000
 0.00656000000,-1.56000,-1.39000
 0.00656100000,-1.54000,-1.39000
 0.00656200000,-1.54000,-1.39000
 0.00656300000,-1.54000,-1.39000
 0.00656400000,-1.52000,-1.39000
 0.00656500000,-1.52000,-1.37000
 0.00656600000,-1.54000,-1.37000
 0.00656700000,-1.52000,-1.39000
 0.00656800000,-1.54000,-1.37000
 0.00656900000,-1.54000,-1.39000
